Date;Kejernihan Langit;Suhu;Kecepatan Angin
10/03/2023;0.45;19.98;0.73
11/03/2023;0.35;19.8;0.5
12/03/2023;0.43;21.21;0.83
13/03/2023;0.49;19.83;0.74
14/03/2023;0.54;19.37;0.44
15/03/2023;0.48;20.25;0.41
16/03/2023;0.54;20.76;0.64
17/03/2023;0.54;21.3;0.41
18/03/2023;0.48;20.67;0.41
19/03/2023;0.48;21.37;0.56
20/03/2023;0.46;20.9;0.85
21/03/2023;0.43;21.25;0.52
22/03/2023;0.57;21.42;0.73
23/03/2023;0.38;20.25;0.48
24/03/2023;0.43;20.47;0.67
25/03/2023;0.48;20.26;0.81
26/03/2023;0.54;20.69;0.77
27/03/2023;0.57;21.04;0.51
28/03/2023;0.4;20.83;0.42
29/03/2023;0.62;21.33;0.89
30/03/2023;0.47;21.04;0.65
31/03/2023;0.57;20.83;0.55
01/04/2023;0.59;20.57;0.53
02/04/2023;0.44;20.19;0.76
03/04/2023;0.37;19.74;0.66
04/04/2023;0.57;20.05;0.91
05/04/2023;0.52;20.34;0.88
06/04/2023;0.62;20.48;0.59
07/04/2023;0.49;20.46;0.66
08/04/2023;0.53;20.82;0.77
09/04/2023;0.57;20.55;0.76
10/04/2023;0.63;20.58;0.86
11/04/2023;0.63;21.44;0.76
12/04/2023;0.55;21.26;0.65
13/04/2023;0.56;21.53;0.69
14/04/2023;0.55;21.53;0.76
15/04/2023;0.55;21.69;0.7
16/04/2023;0.54;21.4;0.68
17/04/2023;0.64;21.38;0.95
18/04/2023;0.49;21.76;0.69
19/04/2023;0.48;21.43;0.75
20/04/2023;0.42;20.76;0.89
21/04/2023;0.53;20.98;0.81
22/04/2023;0.51;21.76;0.76
23/04/2023;0.36;20.69;0.45
24/04/2023;0.5;21.48;0.82
25/04/2023;0.52;21.35;0.8
26/04/2023;0.5;21.58;0.84
27/04/2023;0.45;21.51;0.61
28/04/2023;0.48;21.54;0.56
29/04/2023;0.41;21.48;0.55
30/04/2023;0.42;21.87;0.63
01/05/2023;0.56;22.06;0.44
02/05/2023;0.45;21.37;0.54
03/05/2023;0.47;21.82;0.39
04/05/2023;0.43;20.73;0.65
05/05/2023;0.54;21.18;0.73
06/05/2023;0.39;20.47;0.85
07/05/2023;0.48;20.92;0.8
08/05/2023;0.38;20.65;1.14
09/05/2023;0.33;19.37;1.36
10/05/2023;0.45;20.57;0.94
11/05/2023;0.6;21.12;0.77
12/05/2023;0.64;21.74;0.68
13/05/2023;0.67;21.87;0.76
14/05/2023;0.6;21.45;0.66
15/05/2023;0.56;20.39;0.59
16/05/2023;0.61;21.14;0.53
17/05/2023;0.49;21.44;0.71
18/05/2023;0.45;19.98;0.97
19/05/2023;0.5;20.47;0.84
20/05/2023;0.56;21.04;0.82
21/05/2023;0.57;20.9;0.73
22/05/2023;0.58;19.79;0.84
23/05/2023;0.57;20.37;0.77
24/05/2023;0.55;20.83;0.84
25/05/2023;0.54;20.95;0.85
26/05/2023;0.45;20.77;0.95
27/05/2023;0.65;20.83;0.86
28/05/2023;0.69;20.41;1.18
29/05/2023;0.6;20.15;1.05
30/05/2023;0.59;20.65;0.85
31/05/2023;0.53;20.63;0.86
01/06/2023;0.62;21.08;0.8
02/06/2023;0.62;21.11;0.59
03/06/2023;0.3;20.04;0.85
04/06/2023;0.52;19.82;0.95
05/06/2023;0.59;19.41;0.99
06/06/2023;0.52;18.55;1.16
07/06/2023;0.56;18.65;0.98
08/06/2023;0.66;19.47;1.11
09/06/2023;0.59;19.74;0.89
10/06/2023;0.55;19.96;0.83
11/06/2023;0.66;18.94;0.94
12/06/2023;0.65;19.7;0.96
13/06/2023;0.64;19.83;0.98
14/06/2023;0.6;19.01;1.04
15/06/2023;0.59;18.98;1.08
